x,y
-1.520000,0.500000
-4.100000,-14.500000
-4.803160,-18.406139
0.908677,-19.415934
3.704339,-20.070530
7.752667,-21.295645
11.820334,-22.222874
3.401096,-1.216497
17.554424,15.385257
22.537149,15.930261
27.058472,12.371300
